epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,11582.5,1.24068,1.19643,1.49316,0.90857,0.83148,0.90424,0.58422,1.2294,0.85978,1.40018,0.000708784,0.000708784,0.000708784
86,11717.3,1.22725,1.20352,1.48302,0.90574,0.83837,0.9105,0.63538,1.19161,0.76853,1.3448,0.00070021,0.00070021,0.00070021
87,11847.4,1.21998,1.18234,1.47978,0.92451,0.82093,0.91131,0.63769,1.17488,0.80167,1.41719,0.000691636,0.000691636,0.000691636
88,11979.9,1.22163,1.18039,1.47908,0.90763,0.84058,0.91411,0.62007,1.24146,0.84362,1.41346,0.000683062,0.000683062,0.000683062
89,12114.1,1.20353,1.15215,1.46396,0.92683,0.8213,0.912,0.62993,1.21048,0.77449,1.39995,0.000674488,0.000674488,0.000674488
90,12248.7,1.21186,1.15663,1.46328,0.90631,0.84104,0.90905,0.61951,1.21992,0.73351,1.39531,0.000665914,0.000665914,0.000665914
91,12348.8,1.03549,0.78493,1.35692,0.90689,0.82726,0.90357,0.58443,1.27012,0.81589,1.42473,0.00065734,0.00065734,0.00065734
92,12453.1,1.01634,0.75939,1.34413,0.92108,0.84476,0.91998,0.64737,1.11758,0.79046,1.35245,0.000648766,0.000648766,0.000648766
93,12555.9,1.01472,0.7484,1.34547,0.92997,0.82953,0.921,0.67247,1.15262,0.74109,1.38082,0.000640192,0.000640192,0.000640192
94,12658.2,1.00283,0.7266,1.33422,0.92143,0.84602,0.92377,0.66907,1.24203,0.67618,1.50194,0.000631618,0.000631618,0.000631618
95,12761.1,0.99487,0.72151,1.33428,0.90816,0.85593,0.923,0.65458,1.19531,0.75715,1.45601,0.000623044,0.000623044,0.000623044
96,12863.1,0.9826,0.71919,1.32784,0.92523,0.84833,0.927,0.67465,1.13362,0.81687,1.3674,0.00061447,0.00061447,0.00061447
97,12963.9,0.96202,0.69376,1.3046,0.91702,0.85156,0.92592,0.67273,1.10657,0.6787,1.32102,0.000605896,0.000605896,0.000605896
98,13067.1,0.96983,0.6899,1.30654,0.92258,0.85756,0.92243,0.67779,1.04237,0.73611,1.26476,0.000597322,0.000597322,0.000597322
99,13169.2,0.9688,0.68532,1.30692,0.93958,0.84337,0.92259,0.67331,1.08088,0.72105,1.29095,0.000588748,0.000588748,0.000588748
100,13269.5,0.96075,0.68447,1.30169,0.92312,0.85896,0.92403,0.67966,1.12345,0.70265,1.32489,0.000580174,0.000580174,0.000580174
